id,fecha,categoria_post,texto_original,sentimiento
1,2024-06-01,Facturacion_MediosPago,"El código QR para pagar en la web no funciona, no valida el comprobante en Parque Residencial @carlos_rodriguez ⚡❌🤦‍♂️🤬",0
2,2024-10-19,Atencion_Cliente,La oficina virtual es súper intuitiva y te permite hacer todos los trámites desde casa en Parque Residencial!!! 👍👍⚡,1
3,2024-01-08,Atencion_Cliente,Trámite de cambio de titularidad rechazado tres veces sin explicar el motivo en Los Aromos #PésimoServicio,0
4,2024-06-01,Cortes_Programados,Imposible trabajar desde casa con estos cortes programados interminables 😭🕯️😭,0
5,2024-10-11,Atencion_Cliente,"Genial la puntualidad de Electrín, prometieron luz a las 12 y siguen durmiendo en Los Aromos ⚡❌🔌🚫",0
6,2024-04-09,Obras_Mantenimiento,Postes viejos de madera podridos que nunca reemplazan por columnas de hormigón en Costanera @claudia_v ⚡❌,0
7,2024-05-24,Cortes_Programados,Qué linda sorpresa el aumento del triple en la factura de este mes en Barrio Norte #BastaDeCortes 🕯️,0
8,2024-11-05,Cortes_Emergencia,Baja tensión constante que hace parpadear todas las luces y rompe motores 🤬 https://electrin.com.ar/info/af5c1,0
9,2024-11-13,Obras_Mantenimiento,Divino el calor que hace adentro de casa sin ventilador ni heladera en Microcentro... un desastre!! #PésimoServicio 🤬🔌🚫🔌🚫,0
10,2024-07-14,Cortes_Programados,Corte programado ejecutado a tiempo y con aviso previo por SMS y mail @dr_martinez 😀🙌,1
11,2024-11-06,Cortes_Emergencia,"Qué maravilla de servicio, justo en la final del partido nos dejan a oscuras en Barrio Sur @vecinos_activos #PésimoServicio #ReclamoElectrin 👎😡",0
12,2024-08-05,Cortes_Programados,"Avisaron puerta por puerta en el barrio comercial, muy profesionales #IluminacionLED #EnergiaElectrica",1
13,2024-10-19,Atencion_Cliente,"Pésima gestión de reclamos, los empleados no tienen información actualizada en Santa Rita 👎🔌🚫",0
14,2024-05-07,Atencion_Cliente,Falta total de empatía con los usuarios que necesitan luz para sus medicamentos 😡 https://electrin.com.ar/info/a97d4,0
15,2024-06-14,Facturacion_MediosPago,Un aplauso enorme para la cuadrilla que pasó mirando el poste y siguió de largo en Las Acacias @lucas_martinez #ZonaAfectada 🤬😡🔌🚫,0
16,2024-11-23,Atencion_Cliente,Hice el reclamo por WhatsApp y me atendieron al instante con número de seguimiento @dr_martinez #GraciasCuadrilla #ServicioRestablecido 🔝,1
17,2024-07-19,Cortes_Programados,"Agradezco la precisión del horario informado, pude organizar mi trabajo sin problemas en Costanera @lucas_martinez #BuenaAtencion #ElectrinResponde https://electrin.com.ar/info/0c4d8",1
18,2024-02-28,Facturacion_MediosPago,El sistema no reconoce el comprobante de pago de Pago Fácil... un desastre!! @claudia_v,0
19,2024-10-23,Cortes_Emergencia,"La guardia de emergencias llegó a los 20 minutos de ingresar el reclamo, impecable en Parque Residencial @claudia_v 💪🔝🔝 https://electrin.com.ar/info/c6dcb",1
20,2024-11-21,Cortes_Emergencia,Excelente predisposición del equipo técnico que arregló el cable caído en minutos en Barrio Sur 😀👏,1
21,2024-11-16,Atencion_Cliente,Estuve 45 minutos esperando en el 0800 y me cortaron la llamada en Villa Belgrano... un desastre!! #Inoperantes,0
22,2024-05-18,Cortes_Emergencia,Muy atentos los técnicos que verificaron que la tensión en los domicilios sea correcta,1
23,2024-07-21,Atencion_Cliente,Agradezco la calidez y profesionalismo del personal de atención al usuario en Costanera!!! #EnergiaElectrica,1
24,2024-04-07,Obras_Mantenimiento,Se tardó la obra de cableado pero la iluminación LED del barrio quedó excelente!!! #GraciasCuadrilla #Eficiencia 💪,1
25,2024-03-14,Cortes_Programados,Siempre cortan en el mismo sector y las obras nunca se terminan en Barrio Centro ⚡❌💔,0
26,2024-02-24,Atencion_Cliente,Fui a la sucursal con turno previo y tuve que esperar 2 horas parado afuera... un desastre!! @lucas_martinez,0
27,2024-06-27,Facturacion_MediosPago,Tarifas abusivas y los aumentos no se reflejan en una mejora del servicio... un desastre!! 😤😤,0
28,2024-04-22,Atencion_Cliente,Trámite de cambio de titularidad rechazado tres veces sin explicar el motivo... un desastre!! #QueremosLuz #Desastre 🕯️💔⚡❌ https://electrin.com.ar/info/e997b,0
29,2024-02-20,Cortes_Emergencia,"Toda la cuadra sin luz y el alumbrado público apagado, zona liberada en La Alborada https://electrin.com.ar/info/f45c5",0
